top_label	is_cell_line	is_bulk_sorted	is_control	adjacent_normal	barrett_grade	tissue_origin	run_accession	experiment_accession	sample_accession	study_accession	secondary_sample_accession	secondary_study_accession	BioSample	BioProject	experiment_title	sample_title	study_title	sample_description	library_name	library_strategy	library_source	library_layout	instrument_model	read_count	base_count	scientific_name	collection_date	first_public	last_updated	project_name	submission_accession	library_min_fragment_size	bam_md5	assembly_software	library_prep_longitude	library_selection	pcr_isolation_protocol	chip_protocol	sequencing_primer_provider	serotype	environment_feature	submitted_galaxy	extraction_protocol	germline	secondary_project	culture_collection	submission_tool	sra_bytes	read_strand	rna_purity_280_ratio	hi_c_protocol	collected_by	submitted_ftp	restriction_enzyme_target_sequence	isolate	fastq_bytes	instrument_platform	variety	sequencing_date_format	temperature	sra_aspera	ecotype	submitted_aspera	sampling_campaign	bam_ftp	tissue_lib	environmental_sample	control_experiment	sex	submitted_md5	checklist	fastq_galaxy	library_gen_protocol	specimen_voucher	library_prep_latitude	submitted_bytes	taxonomic_identity_marker	run_date	country	ncbi_reporting_standard	sra_galaxy	sample_prep_interval	fastq_md5	experimental_protocol	bio_material	rna_prep_5_protocol	host_body_site	local_environmental_context	assembly_quality	collection_date_end	sample_capture_status	host_genotype	host_phenotype	environmental_medium	cultivar	faang_library_selection	target_gene	bam_bytes	library_max_fragment_size	experiment_target	sequencing_date	description	nominal_sdev	chip_ab_provider	environment_material	host_tax_id	sample_material	sample_storage_processing	sra_md5	cell_type	fastq_ftp	disease	sample_prep_interval_units	broker_name	sub_strain	restriction_site	serovar	investigation_type	location	sra_ftp	age	experimental_factor	sequencing_primer_catalog	environment_biome	rna_purity_230_ratio	dnase_protocol	dev_stage	library_prep_date_format	bam_aspera	binning_software	datahub	rna_integrity_num	library_prep_date	location_start	marine_region	aligned	file_location	sample_collection	chip_target	nominal_length	broad_scale_environmental_context	sequencing_location	status	completeness_score	lon	fastq_aspera	tax_lineage	host_sex	library_pcr_isolation_protocol	sample_alias	mating_type	collection_date_start	sub_species	contamination_score	run_alias	restriction_enzyme	depth	submitted_read_type	library_construction_protocol	host_growth_conditions	experiment_alias	host_gravidity	center_name	identified_by	cell_line	sampling_site	host	tag	first_created	lat	strain	host_status	tax_id	submitted_format	submitted_host_sex	surveillance_target	bisulfite_protocol	altitude	rt_prep_protocol	host_scientific_name	bam_galaxy	accession	sample_storage	cage_protocol	sampling_platform	taxonomic_classification	location_end	protocol_label	elevation	salinity	sequencing_method	sequencing_primer_lot	transposase_protocol	study_alias	library_prep_location	rna_prep_3_protocol	ph	sequencing_longitude	tissue_type	isolation_source	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
Unknown	no	no	no	no	unknown	intestine	SRR35876235	SRX30925524	SAMN52920093	PRJNA1348884	SRS26923544	SRP637137			Illumina MiSeq sequencing: RNA-Seq of stool:female intestinal		Polycystic Ovary Syndrome		FA00025-01	AMPLICON	METAGENOMIC	PAIRED	Illumina MiSeq	0	0			2025-10-27	2025-10-27		SRA2259241					PCR																					ILLUMINA																																													Illumina MiSeq sequencing: RNA-Seq of stool:female intestinal																																									public												FA00025-01_R1.gz						FA00025-01		SUB15729957						2025-10-27													SRR35876235												PRJNA1348884																																																		
Unknown	no	no	no	no	unknown	intestine	SRR35876236	SRX30925523	SAMN52920092	PRJNA1348884	SRS26923545	SRP637137			Illumina MiSeq sequencing: RNA-Seq of stool:female intestinal		Polycystic Ovary Syndrome		FA00012-01	AMPLICON	METAGENOMIC	PAIRED	Illumina MiSeq	0	0			2025-10-27	2025-10-27		SRA2259241					PCR																					ILLUMINA																																													Illumina MiSeq sequencing: RNA-Seq of stool:female intestinal																																									public												FA00012-01_R1.gz						FA00012-01		SUB15729957						2025-10-27													SRR35876236												PRJNA1348884																																																		
Unknown	no	no	no	no	unknown	intestine	SRR35876237	SRX30925522	SAMN52920091	PRJNA1348884	SRS26923543	SRP637137			Illumina MiSeq sequencing: RNA-Seq of stool:female intestinal		Polycystic Ovary Syndrome		FA00007-01	AMPLICON	METAGENOMIC	PAIRED	Illumina MiSeq	0	0			2025-10-27	2025-10-27		SRA2259241					PCR																					ILLUMINA																																													Illumina MiSeq sequencing: RNA-Seq of stool:female intestinal																																									public												FA00007-01_R1.gz						FA00007-01		SUB15729957						2025-10-27													SRR35876237												PRJNA1348884																																																		
Unknown	no	no	no	no	unknown	intestine	SRR35876238	SRX30925521	SAMN52920090	PRJNA1348884	SRS26923542	SRP637137			Illumina MiSeq sequencing: RNA-Seq of stool:female intestinal		Polycystic Ovary Syndrome		FA00003-01	AMPLICON	METAGENOMIC	PAIRED	Illumina MiSeq	0	0			2025-10-27	2025-10-27		SRA2259241					PCR																					ILLUMINA																																													Illumina MiSeq sequencing: RNA-Seq of stool:female intestinal																																									public												FA00003-01_R1.gz						FA00003-01		SUB15729957						2025-10-27													SRR35876238												PRJNA1348884																																																		
Unknown	no	no	no	no	unknown	intestine	SRR35876239	SRX30925520	SAMN52920089	PRJNA1348884	SRS26923540	SRP637137			Illumina MiSeq sequencing: RNA-Seq of stool:female intestinal		Polycystic Ovary Syndrome		FA00002-01	AMPLICON	METAGENOMIC	PAIRED	Illumina MiSeq	0	0			2025-10-27	2025-10-27		SRA2259241					PCR																					ILLUMINA																																													Illumina MiSeq sequencing: RNA-Seq of stool:female intestinal																																									public												FA00002-01_R1.gz						FA00002-01		SUB15729957						2025-10-27													SRR35876239												PRJNA1348884																																																		
Unknown	no	no	no	no	unknown	intestine	SRR35876240	SRX30925519	SAMN52920088	PRJNA1348884	SRS26923541	SRP637137			Illumina MiSeq sequencing: RNA-Seq of stool:female intestinal		Polycystic Ovary Syndrome		FA00341-01	AMPLICON	METAGENOMIC	PAIRED	Illumina MiSeq	0	0			2025-10-27	2025-10-27		SRA2259241					PCR																					ILLUMINA																																													Illumina MiSeq sequencing: RNA-Seq of stool:female intestinal																																									public												FA00341-01_R1.gz						FA00341-01		SUB15729957						2025-10-27													SRR35876240												PRJNA1348884																																																		
Unknown	no	no	no	no	unknown	intestine	SRR35876241	SRX30925518	SAMN52920087	PRJNA1348884	SRS26923539	SRP637137			Illumina MiSeq sequencing: RNA-Seq of stool:female intestinal		Polycystic Ovary Syndrome		FA00332-01	AMPLICON	METAGENOMIC	PAIRED	Illumina MiSeq	0	0			2025-10-27	2025-10-27		SRA2259241					PCR																					ILLUMINA																																													Illumina MiSeq sequencing: RNA-Seq of stool:female intestinal																																									public												FA00332-01_R1.gz						FA00332-01		SUB15729957						2025-10-27													SRR35876241												PRJNA1348884																																																		
Unknown	no	no	no	no	unknown	intestine	SRR35876242	SRX30925517	SAMN52920086	PRJNA1348884	SRS26923538	SRP637137			Illumina MiSeq sequencing: RNA-Seq of stool:female intestinal		Polycystic Ovary Syndrome		FA00319-01	AMPLICON	METAGENOMIC	PAIRED	Illumina MiSeq	0	0			2025-10-27	2025-10-27		SRA2259241					PCR																					ILLUMINA																																													Illumina MiSeq sequencing: RNA-Seq of stool:female intestinal																																									public												FA00319-01_R1.gz						FA00319-01		SUB15729957						2025-10-27													SRR35876242												PRJNA1348884																																																		
Unknown	no	no	no	no	unknown	intestine	SRR35876243	SRX30925516	SAMN52920085	PRJNA1348884	SRS26923537	SRP637137			Illumina MiSeq sequencing: RNA-Seq of stool:female intestinal		Polycystic Ovary Syndrome		FA00314-01	AMPLICON	METAGENOMIC	PAIRED	Illumina MiSeq	0	0			2025-10-27	2025-10-27		SRA2259241					PCR																					ILLUMINA																																													Illumina MiSeq sequencing: RNA-Seq of stool:female intestinal																																									public												FA00314-01_R1.gz						FA00314-01		SUB15729957						2025-10-27													SRR35876243												PRJNA1348884																																																		
Unknown	no	no	no	no	unknown	intestine	SRR35876244	SRX30925515	SAMN52920084	PRJNA1348884	SRS26923536	SRP637137			Illumina MiSeq sequencing: RNA-Seq of stool:female intestinal		Polycystic Ovary Syndrome		FA00297-01	AMPLICON	METAGENOMIC	PAIRED	Illumina MiSeq	0	0			2025-10-27	2025-10-27		SRA2259241					PCR																					ILLUMINA																																													Illumina MiSeq sequencing: RNA-Seq of stool:female intestinal																																									public												FA00297-01_R1.gz						FA00297-01		SUB15729957						2025-10-27													SRR35876244												PRJNA1348884																																																		
