run_accession	accession	stage_dropped	reason
	SRR11805399	metadata_qc	library_strategy_not_allowed
	SRR11805400	metadata_qc	library_strategy_not_allowed
	SRR11805402	metadata_qc	library_strategy_not_allowed
	SRR11805408	metadata_qc	library_strategy_not_allowed
	SRR11805412	metadata_qc	library_strategy_not_allowed
	SRR11805415	metadata_qc	library_strategy_not_allowed
	SRR11805417	metadata_qc	library_strategy_not_allowed
	SRR11805421	metadata_qc	library_strategy_not_allowed
	SRR26030579	metadata_qc	library_strategy_not_allowed
	SRR26030584	metadata_qc	library_strategy_not_allowed
	SRR26030592	metadata_qc	library_strategy_not_allowed
	SRR5038462	metadata_qc	library_strategy_not_allowed
	SRR5038481	metadata_qc	library_strategy_not_allowed
	SRR5038483	metadata_qc	library_strategy_not_allowed
	SRR5038390	metadata_qc	library_strategy_not_allowed
	SRR5038392	metadata_qc	library_strategy_not_allowed
	SRR5038393	metadata_qc	library_strategy_not_allowed
	SRR5038394	metadata_qc	library_strategy_not_allowed
	SRR5038400	metadata_qc	library_strategy_not_allowed
	SRR5038404	metadata_qc	library_strategy_not_allowed
	SRR5038405	metadata_qc	library_strategy_not_allowed
	SRR5038415	metadata_qc	library_strategy_not_allowed
	SRR5038416	metadata_qc	library_strategy_not_allowed
	SRR5038417	metadata_qc	library_strategy_not_allowed
	SRR5038418	metadata_qc	library_strategy_not_allowed
	SRR5038421	metadata_qc	library_strategy_not_allowed
	SRR5038424	metadata_qc	library_strategy_not_allowed
	SRR5038425	metadata_qc	library_strategy_not_allowed
	SRR5038427	metadata_qc	library_strategy_not_allowed
	SRR5038430	metadata_qc	library_strategy_not_allowed
	SRR5038432	metadata_qc	library_strategy_not_allowed
	SRR5038440	metadata_qc	library_strategy_not_allowed
	SRR5038444	metadata_qc	library_strategy_not_allowed
	SRR5038446	metadata_qc	library_strategy_not_allowed
	SRR5038449	metadata_qc	library_strategy_not_allowed
	SRR5038451	metadata_qc	library_strategy_not_allowed
	SRR5038453	metadata_qc	library_strategy_not_allowed
	SRR5038455	metadata_qc	library_strategy_not_allowed
	SRR5038460	metadata_qc	library_strategy_not_allowed
	SRR5038464	metadata_qc	library_strategy_not_allowed
	SRR5038465	metadata_qc	library_strategy_not_allowed
	SRR5038466	metadata_qc	library_strategy_not_allowed
	SRR5038476	metadata_qc	library_strategy_not_allowed
	SRR5038477	metadata_qc	library_strategy_not_allowed
	SRR5038482	metadata_qc	library_strategy_not_allowed
	SRR5038487	metadata_qc	library_strategy_not_allowed
	SRR5038492	metadata_qc	library_strategy_not_allowed
	SRR5038496	metadata_qc	library_strategy_not_allowed
	SRR11805348	metadata_qc	library_strategy_not_allowed
	SRR11805349	metadata_qc	library_strategy_not_allowed
	SRR11805353	metadata_qc	library_strategy_not_allowed
	SRR11805355	metadata_qc	library_strategy_not_allowed
	SRR11805357	metadata_qc	library_strategy_not_allowed
	SRR18345469	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345309	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345310	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345311	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345327	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345328	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345329	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345330	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345460	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345323	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345325	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345326	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345319	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345320	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345321	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345322	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345315	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345316	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345317	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345318	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345312	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345313	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345314	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345225	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345324	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345306	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345307	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345308	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345302	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345303	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345304	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345305	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345298	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345299	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345300	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345301	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345288	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345289	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345294	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345295	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345280	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345281	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345282	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345283	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345284	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345285	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345286	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345287	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR32545910	metadata_qc	library_strategy_not_allowed
	SRR32545866	metadata_qc	library_strategy_not_allowed
	SRR32545855	metadata_qc	library_strategy_not_allowed
	SRR32545852	metadata_qc	library_strategy_not_allowed
	SRR32545916	metadata_qc	library_strategy_not_allowed
	SRR32545913	metadata_qc	library_strategy_not_allowed
	SRR32545906	metadata_qc	library_strategy_not_allowed
	SRR32545897	metadata_qc	library_strategy_not_allowed
	SRR32545894	metadata_qc	library_strategy_not_allowed
	SRR32545887	metadata_qc	library_strategy_not_allowed
	SRR32545880	metadata_qc	library_strategy_not_allowed
	SRR32545871	metadata_qc	library_strategy_not_allowed
	SRR32545859	metadata_qc	library_strategy_not_allowed
	SRR33664703	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345507	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345508	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345509	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345510	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345515	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345516	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345503	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345504	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345501	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345502	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345498	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345499	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345496	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345497	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345478	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345479	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345490	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345491	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345492	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345493	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345486	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345487	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345488	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345489	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345482	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345484	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345485	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345500	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345480	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345481	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345467	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345468	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345474	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345475	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345476	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345477	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345470	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345471	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345472	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345473	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345459	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345461	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345462	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345483	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345463	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345464	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345465	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR18345466	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR28289787	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR28289786	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR28289785	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR28289784	metadata_qc	missing_anatomy_or_malignancy_terms
	SRR31724709	metadata_qc	non_human
	SRR31724707	metadata_qc	non_human
	SRR31724699	metadata_qc	non_human
	SRR31724698	metadata_qc	non_human
	SRR31724702	metadata_qc	non_human
	SRR31724694	metadata_qc	non_human
